801D00,WRAM80_OAMBuffer,
801F20,WRAM80_OAMAppendAddr,
802100,SNES80_Screen_Display,
802101,SNES80_Object_Character_Sizes,
802102,SNES80_OAM_Addr_Lo,
802103,SNES80_OAM_Addr_Hi,
802104,SNES80_OAM_Write,
802105,SNES80_BG_Mode_Character_Size,
802106,SNES80_Mosaic,
802107,SNES80_BG1_Tilemap_Addr,
802108,SNES80_BG2_Tilemap_Addr,
802109,SNES80_BG3_Tilemap_Addr,
80210A,SNES80_BG4_Tilemap_Addr,
80210B,SNES80_BG12_Character_Addr,
80210C,SNES80_BG34_Character_Addr,
80210D,SNES80_BG1_HScroll,
80210E,SNES80_BG1_VScroll,
80210F,SNES80_BG2_HScroll,
802110,SNES80_BG2_VScroll,
802111,SNES80_BG3_HScroll,
802112,SNES80_BG3_VScroll,
802113,SNES80_BG4_HScroll,
802114,SNES80_BG4_VScroll,
802115,SNES80_Video_Port_Control,
802116,SNES80_VRAM_Addr_Lo,
802117,SNES80_VRAM_Addr_Hi,
802118,SNES80_VRAM_Write_Lo,
802119,SNES80_VRAM_Write_Hi,
80211A,SNES80_Mode7_Settings,
80211B,SNES80_Mode7_A,
80211C,SNES80_Mode7_B,
80211D,SNES80_Mode7_C,
80211E,SNES80_Mode7_D,
80211F,SNES80_Mode7_X,
802120,SNES80_Mode7_Y,
802121,SNES80_CGRAM_Addr,
802122,SNES80_CGRAM_Write,
802123,SNES80_Window12_Mask_Settings,
802124,SNES80_Window34_Mask_Settings,
802125,SNES80_WindowObj_Mask_Settings,
802126,SNES80_Window0_Pos,
802127,SNES80_Window1_Pos,
802128,SNES80_Window2_Pos,
802129,SNES80_Window3_Pos,
80212A,SNES80_Window_Mask_BGLogic,
80212B,SNES80_Window_Mask_OBJLogic,
80212C,SNES80_Main_Screen_Desig,
80212D,SNES80_Subscreen_Desig,
80212E,SNES80_Window_Mask_Main_Desig,
80212F,SNES80_Window_Mask_Sub_Desig,
802130,SNES80_Color_Addition_Select,
802131,SNES80_Color_Math_Desig,
802132,SNES80_Color_Math_Data,
802133,SNES80_Screen_Mode_Select,
802134,SNES80_Mul_Result_Lo,
802135,SNES80_Mul_Result_Mid,
802136,SNES80_Mul_Result_Hi,
802137,SNES80_Software_Latch,
802138,SNES80_OAM_Read,
802139,SNES80_VRAM_Read_Lo,
80213A,SNES80_VRAM_Read_Hi,
80213B,SNES80_CGRAM_Read,
80213C,SNES80_HScanline,
80213D,SNES80_VScanline,
80213E,SNES80_PPU_Status_Lo,
80213F,SNES80_PPU_Status_Hi,
802140,SNES80_APU0,
802141,SNES80_APU1,
802142,SNES80_APU2,
802143,SNES80_APU3,
802180,SNES80_WRAM_Data,
802181,SNES80_WRAM_Write_Lo,
802182,SNES80_WRAM_Write_Mid,
802183,SNES80_WRAM_Write_Hi,
804016,SNES80_Joy_Legacy0,
804017,SNES80_Joy_Legacy1,
804200,SNES80_Interrupt_Enable,
804201,SNES80_IO_Port_Write,
804202,SNES80_Multiplicand_A,
804203,SNES80_Multiplicand_B,
804204,SNES80_Div_Lo,
804205,SNES80_Div_Hi,
804206,SNES80_Divisor,
804207,SNES80_IRQ_Horizontal_Lo,
804208,SNES80_IRQ_Horizontal_Hi,
804209,SNES80_IRQ_Vertical_Lo,
80420A,SNES80_IRQ_Vertical_Hi,
80420B,SNES80_DMA_Enable,
80420C,SNES80_HDMA_Enable,
80420D,SNES80_ROM_Speed,
804210,SNES80_NMI_5A22_Version,
